time-malawi,bc-blue,bc-ir,aae-blue-ir
15:51:21,1408,-1283,#NUM!
15:51:31,534,587,0.859347967
15:51:41,1519,616,2.449282072
15:51:51,26,1261,-5.178598382
15:52:01,1242,583,2.216067821
15:52:11,1156,-290,#NUM!
15:52:21,944,1679,0.092117759
15:52:31,1199,-649,#NUM!
15:52:41,1012,939,1.129597117
15:52:51,702,-139,#NUM!
15:53:01,901,1024,0.806194044
15:53:11,1059,675,1.728298874
15:53:21,1324,-123,#NUM!
15:53:31,818,1895,-0.329261124
15:53:41,864,106,4.355522026
15:53:51,831,-651,#NUM!
15:54:01,1130,245,3.447631772
15:54:11,551,845,0.328451021
15:54:21,417,333,1.36887955
15:54:31,1301,88,5.304865505
15:54:41,703,316,2.285143629
15:54:51,663,18,6.7603299
15:55:01,1056,158,4.039054141
15:55:11,1335,997,1.475692722
15:55:21,1045,19,7.399578702
15:55:31,798,1687,-0.183350936
15:55:41,1269,-69,#NUM!
15:55:51,1115,105,4.777269807
15:56:01,511,830,0.236845026
15:56:11,1654,634,2.539115221
15:56:21,309,219,1.559134441
15:56:31,1441,-160,#NUM!
15:56:41,1052,1365,0.594942378
15:56:51,873,483,1.953990332
15:57:01,1358,-225,#NUM!
15:57:11,498,-87,#NUM!
15:57:21,1229,1265,0.964193025
15:57:31,1096,211,3.63712743
15:57:41,704,1023,0.414366734
15:57:51,823,272,2.775489206
15:58:01,1050,-624,#NUM!
15:58:11,714,1453,-0.12261044
15:58:21,1214,-61,#NUM!
15:58:31,1250,1257,1.001322033
15:58:41,600,105,3.789242564
15:58:51,1055,493,2.223235986
15:59:01,1145,106,4.804488847
15:59:11,973,725,1.47932261
15:59:21,1017,-446,#NUM!
15:59:31,834,1119,0.54153586
15:59:41,1178,827,1.574279986
15:59:51,1025,569,1.948646737
16:00:01,759,-1429,#NUM!
16:00:11,640,1814,-0.650870089
16:00:21,939,-387,#NUM!
16:00:31,1049,1212,0.779937198
16:00:41,423,-605,#NUM!
16:00:51,1245,959,1.426367788
16:01:01,952,227,3.296003393
16:01:11,575,641,0.836977628
16:01:21,1492,140,4.782979447
16:01:31,821,349,2.374170207
16:01:41,415,195,2.21445409
16:01:51,1186,1037,1.224283058
16:02:01,1048,827,1.387837845
16:02:11,455,-405,#NUM!
16:02:21,1362,17,7.999338631
16:02:31,783,1050,0.542404113
16:02:41,605,1035,0.154139303
16:02:51,1149,141,4.355129342
16:03:01,534,95,3.763013864
16:03:11,810,591,1.512814581
16:03:21,1210,107,4.877554489
16:03:31,1053,614,1.870259111
16:03:41,822,-98,#NUM!
16:03:51,2057,1152,1.934586532
16:04:01,1707,159,4.794711413
16:04:11,1209,983,1.340173697
16:04:21,1202,-385,#NUM!
16:04:31,844,1400,0.203332156
16:04:41,1285,220,3.824187594
16:04:51,469,836,0.088612671
16:05:01,1090,86,5.059379801
16:05:11,1025,-95,#NUM!
16:05:21,14816,10398,1.574799014
16:05:31,40783,27148,1.659092159
16:05:41,21922,15640,1.548594427
16:05:51,10768,7502,1.586462038
16:06:01,5664,4457,1.392334563
16:06:11,4554,2023,2.303973244
16:06:21,6986,4235,1.808270217
16:06:31,8394,3418,2.44274663
16:06:41,6911,3684,2.013296716
16:06:51,5450,1809,2.76861292
16:07:01,3045,2833,1.125286312
16:07:11,2328,1868,1.361222305
16:07:21,1439,685,2.193736111
